Name,Execution time in second
2_1_16_T,1.359573864
2_2_16_T,0.688285744
2_3_16_T,0.46452408
2_4_16_T,0.352641684
2_5_16_T,0.285983836
2_6_16_T,0.240760852
2_7_16_T,0.209065764
2_8_16_T,0.184820436
2_9_16_T,0.166881848
2_10_16_T,0.151605814
2_11_16_T,0.139368848
2_12_16_T,0.12888002
2_13_16_T,0.121201656
2_14_16_T,0.113146778
2_15_16_T,0.107216552
2_16_16_T,0.100909812
4_1_16_T,4.674686568
4_2_16_T,2.345842096
4_3_16_T,1.569562032
4_4_16_T,1.18141986
4_5_16_T,0.9502006
4_6_16_T,0.793279828
4_7_16_T,0.683354328
4_8_16_T,0.605571732
4_9_16_T,0.5483285
4_10_16_T,0.49921132
4_11_16_T,0.459994784
4_12_16_T,0.426346196
4_13_16_T,0.402057276
4_14_16_T,0.375949964
4_15_16_T,0.357173102
4_16_16_T,0.336733428
7_1_16_T,17.935137384
7_2_16_T,8.976067504
7_3_16_T,5.98971384
7_4_16_T,4.560151794
7_5_16_T,3.708679786
7_6_16_T,3.130594162
7_7_16_T,2.725804164
7_8_16_T,2.415815346
7_9_16_T,2.186993138
7_10_16_T,1.991470174
7_11_16_T,1.835057558
7_12_16_T,1.70103653
7_13_16_T,1.603733136
7_14_16_T,1.500004988
7_15_16_T,1.424813732
7_16_16_T,1.343647122
