Name,Execution time in second
2_1_8_L,0.219454344
2_2_8_L,0.110903472
2_3_8_L,0.07471992
2_4_8_L,0.056628036
2_5_8_L,0.045848844
2_6_8_L,0.03853626
2_7_8_L,0.033410748
2_8_8_L,0.029490372
2_9_8_L,0.026589132
2_10_8_L,0.024119376
2_11_8_L,0.022140588
2_12_8_L,0.020444484
2_13_8_L,0.019202148
2_14_8_L,0.017900328
2_15_8_L,0.016940676
2_16_8_L,0.01592154
4_1_8_L,0.772415496
4_2_8_L,0.387384048
4_3_8_L,0.259040496
4_4_8_L,0.194868324
4_5_8_L,0.156642732
4_6_8_L,0.130696548
4_7_8_L,0.112524636
4_8_8_L,0.099488484
4_9_8_L,0.0898947
4_10_8_L,0.08166264
4_11_8_L,0.075090108
4_12_8_L,0.069450852
4_13_8_L,0.065380212
4_14_8_L,0.061004568
4_15_8_L,0.057861516
4_16_8_L,0.054432324
7_1_8_L,2.984260104
7_2_8_L,1.493306352
7_3_8_L,0.9963228
7_4_8_L,0.756607716
7_5_8_L,0.613844604
7_6_8_L,0.51689418
7_7_8_L,0.449032548
7_8_8_L,0.397037412
7_9_8_L,0.358697772
7_10_8_L,0.325881456
7_11_8_L,0.299653788
7_12_8_L,0.277182564
7_13_8_L,0.260894928
7_14_8_L,0.243475818
7_15_8_L,0.230913876
7_16_8_L,0.21725946
