Name,Execution time in second
2_1_16_I,0.438604744
2_2_16_I,0.221649104
2_3_16_I,0.14933064
2_4_16_I,0.113171284
2_5_16_I,0.09162734
2_6_16_I,0.077012052
2_7_16_I,0.066767868
2_8_16_I,0.058932436
2_9_16_I,0.053133756
2_10_16_I,0.048197664
2_11_16_I,0.044242748
2_12_16_I,0.04085282
2_13_16_I,0.038369668
2_14_16_I,0.035767928
2_15_16_I,0.033849764
2_16_16_I,0.031813012
4_1_16_I,1.54364116
4_2_16_I,0.774167312
4_3_16_I,0.517676304
4_4_16_I,0.389430388
4_5_16_I,0.31303742
4_6_16_I,0.261184884
4_7_16_I,0.224868636
4_8_16_I,0.198818356
4_9_16_I,0.179646552
4_10_16_I,0.163196574
4_11_16_I,0.150062528
4_12_16_I,0.13879346
4_13_16_I,0.130658512
4_14_16_I,0.121915058
4_15_16_I,0.1156337
4_16_16_I,0.108781012
7_1_16_I,5.963786824
7_2_16_I,2.984240144
7_3_16_I,1.99105896
7_4_16_I,1.512029074
7_5_16_I,1.22673959
7_6_16_I,1.033000722
7_7_16_I,0.897389598
7_8_16_I,0.793486546
7_9_16_I,0.716869566
7_10_16_I,0.651293004
7_11_16_I,0.598881278
7_12_16_I,0.55397237
7_13_16_I,0.521418838
7_14_16_I,0.486609008
7_15_16_I,0.461501354
7_16_16_I,0.434215282
