Name,Execution time in second
2_1_32_T,2.608519392
2_2_32_T,1.31755544
2_3_32_T,0.887235312
2_4_32_T,0.672073464
2_5_32_T,0.543881096
2_6_32_T,0.4569134
2_7_32_T,0.395958552
2_8_32_T,0.349333368
2_9_32_T,0.314832448
2_10_32_T,0.285457724
2_11_32_T,0.261924592
2_12_32_T,0.241753336
2_13_32_T,0.226982592
2_14_32_T,0.211496452
2_15_32_T,0.200087584
2_16_32_T,0.18796332
4_1_32_T,9.2387448
4_2_32_T,4.632668144
4_3_32_T,3.097311216
4_4_32_T,2.329629816
4_5_32_T,1.872314624
4_6_32_T,1.561951352
4_7_32_T,1.34453568
4_8_32_T,1.18807116
4_9_32_T,1.07282284
4_10_32_T,0.974056256
4_11_32_T,0.89515624
4_12_32_T,0.827469688
4_13_32_T,0.778498632
4_14_32_T,0.726068968
4_15_32_T,0.688233004
4_16_32_T,0.647168952
7_1_32_T,35.759646432
7_2_32_T,17.89311896
7_3_32_T,11.937614832
7_4_32_T,9.059445684
7_5_32_T,7.345139876
7_6_32_T,6.18128402
7_7_32_T,5.366311512
7_8_32_T,4.742203188
7_9_32_T,4.281511348
7_10_32_T,3.887841164
7_11_32_T,3.572950012
7_12_32_T,3.303122356
7_13_32_T,3.107068272
7_14_32_T,2.898380872
7_15_32_T,2.746998424
7_16_32_T,2.58358194
