Name,Execution time in second
2_1_1_L,0.033810256
2_2_1_L,0.01709762
2_3_1_L,0.011526804
2_4_1_L,0.008741302
2_5_1_L,0.00708185
2_6_1_L,0.005955894
2_7_1_L,0.005166882
2_8_1_L,0.00456319
2_9_1_L,0.004116738
2_10_1_L,0.003736272
2_11_1_L,0.003431618
2_12_1_L,0.003170486
2_13_1_L,0.00297955
2_14_1_L,0.002778788
2_15_1_L,0.002631374
2_16_1_L,0.002474134
4_1_1_L,0.122285008
4_2_1_L,0.061334996
4_3_1_L,0.04101858
4_4_1_L,0.03085999
4_5_1_L,0.024809114
4_6_1_L,0.020701782
4_7_1_L,0.017825346
4_8_1_L,0.015728086
4_9_1_L,0.01418367
4_10_1_L,0.012859482
4_11_1_L,0.011802014
4_12_1_L,0.010894934
4_13_1_L,0.010239058
4_14_1_L,0.009535826
4_15_1_L,0.009029654
4_16_1_L,0.008478358
7_1_1_L,0.476184016
7_2_1_L,0.2382845
7_3_1_L,0.158985684
7_4_1_L,0.120388822
7_5_1_L,0.09740243
7_6_1_L,0.081793494
7_7_1_L,0.070867062
7_8_1_L,0.06249583
7_9_1_L,0.056322318
7_10_1_L,0.051038922
7_11_1_L,0.046816478
7_12_1_L,0.043198166
7_13_1_L,0.04057381
7_14_1_L,0.037770698
7_15_1_L,0.035747054
7_16_1_L,0.033549334
