200704	147	64
50176	64	128
50176	1152	128
50176	128	256
50176	64	256
50176	256	128
50176	1152	128
50176	128	256
50176	256	128
50176	1152	128
50176	128	256
50176	256	256
12544	2304	256
12544	256	512
12544	256	512
12544	512	256
12544	2304	256
12544	256	512
12544	512	256
12544	2304	256
12544	256	512
12544	512	256
12544	2304	256
12544	256	512
12544	512	512
3136	4608	512
3136	512	1024
3136	512	1024
3136	1024	512
3136	4608	512
3136	512	1024
3136	1024	512
3136	4608	512
3136	512	1024
3136	1024	512
3136	4608	512
3136	512	1024
3136	1024	512
3136	4608	512
3136	512	1024
3136	1024	512
3136	4608	512
3136	512	1024
3136	1024	1024
784	9216	1024
784	1024	2048
784	1024	2048
784	2048	1024
784	9216	1024
784	1024	2048
784	2048	1024
784	9216	1024
784	1024	2048
16	2048	10
