1568	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
32	768	10
1568	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
1600	3072	768
1600	768	3072
32	10	768
3072	1568	768
768	1600	3072
3072	1600	768
768	1600	3072
3072	1600	768
768	1600	3072
3072	1600	768
768	1600	3072
3072	1600	768
768	1600	3072
3072	1600	768
768	1600	3072
3072	1600	768
768	1600	3072
3072	1600	768
768	1600	3072
3072	1600	768
768	1600	3072
3072	1600	768
768	1600	3072
3072	1600	768
768	1600	3072
3072	1600	768
768	1600	3072
3072	1600	768
768	32	10
