200704	147	64
50176	576	64
50176	576	64
50176	576	64
50176	576	64
50176	576	64
50176	576	64
12544	576	128
12544	1152	128
12544	64	128
12544	1152	128
12544	1152	128
12544	1152	128
12544	1152	128
12544	1152	128
12544	1152	128
3136	1152	256
3136	2304	256
3136	128	256
3136	2304	256
3136	2304	256
3136	2304	256
3136	2304	256
3136	2304	256
3136	2304	256
3136	2304	256
3136	2304	256
3136	2304	256
3136	2304	256
784	2304	512
784	4608	512
784	256	512
784	4608	512
784	4608	512
784	4608	512
784	4608	512
16	512	10
