Name,Execution time in second
2_1_1_L,0.037887656
2_2_1_L,0.019190572
2_3_1_L,0.013119874
2_4_1_L,0.00984203
2_5_1_L,0.008075816
2_6_1_L,0.006846198
2_7_1_L,0.006047394
2_8_1_L,0.00516779
2_9_1_L,0.00486546
2_10_1_L,0.004368986
2_11_1_L,0.003985856
2_12_1_L,0.003771332
2_13_1_L,0.00341495
2_14_1_L,0.003327144
2_15_1_L,0.003187052
2_16_1_L,0.00283067
4_1_1_L,0.130515368
4_2_1_L,0.065504428
4_3_1_L,0.04434925
4_4_1_L,0.032998958
4_5_1_L,0.026852456
4_6_1_L,0.022560054
4_7_1_L,0.019740834
4_8_1_L,0.01687499
4_9_1_L,0.015851136
4_10_1_L,0.014222486
4_11_1_L,0.012989504
4_12_1_L,0.01225364
4_13_1_L,0.011118158
4_14_1_L,0.010807812
4_15_1_L,0.010337756
4_16_1_L,0.009198926
7_1_1_L,0.501026216
7_2_1_L,0.250759852
7_3_1_L,0.169266754
7_4_1_L,0.12691307
7_5_1_L,0.103979816
7_6_1_L,0.087936378
7_7_1_L,0.077415474
7_8_1_L,0.06627659
7_9_1_L,0.06205152
7_10_1_L,0.055685126
7_11_1_L,0.050913716
7_12_1_L,0.047901272
7_13_1_L,0.04353791
7_14_1_L,0.042254724
7_15_1_L,0.040330892
7_16_1_L,0.03596411
