Name,Execution time in second
2_1_16_T,2.268646488
2_2_16_T,1.165630384
2_3_16_T,0.80023617
2_4_16_T,0.61388394
2_5_16_T,0.506307298
2_6_16_T,0.4320555
2_7_16_T,0.381728824
2_8_16_T,0.338249156
2_9_16_T,0.311132342
2_10_16_T,0.285857204
2_11_16_T,0.265255946
2_12_16_T,0.24896651
2_13_16_T,0.233806944
2_14_16_T,0.223691258
2_15_16_T,0.213235766
2_16_16_T,0.200431764
4_1_16_T,6.280287576
4_2_16_T,3.171639088
4_3_16_T,2.14307598
4_4_16_T,1.616888292
4_5_16_T,1.313965228
4_6_16_T,1.105234704
4_7_16_T,0.963494068
4_8_16_T,0.84394706
4_9_16_T,0.771715808
4_10_16_T,0.702278996
4_11_16_T,0.646071326
4_12_16_T,0.602158082
4_13_16_T,0.56010318
4_14_16_T,0.533243312
4_15_16_T,0.5052491
4_16_16_T,0.469222572
7_1_16_T,22.326851928
7_2_16_T,11.195673904
7_3_16_T,7.51443522
7_4_16_T,5.66898045
7_5_16_T,4.608093808
7_6_16_T,3.87726582
7_7_16_T,3.381495304
7_8_16_T,2.946888146
7_9_16_T,2.684822132
7_10_16_T,2.431938794
7_11_16_T,2.228243876
7_12_16_T,2.06840933
7_13_16_T,1.915007064
7_14_16_T,1.818125228
7_15_16_T,1.716349106
7_16_16_T,1.584464394
