Name,Execution time in second
2_1_32_T,4.48998856
2_2_32_T,2.306256496
2_3_32_T,1.582900622
2_4_32_T,1.213913736
2_5_32_T,1.000983958
2_6_32_T,0.853972844
2_7_32_T,0.754370396
2_8_32_T,0.668219176
2_9_32_T,0.614603946
2_10_32_T,0.56454304
2_11_32_T,0.52374751
2_12_32_T,0.491511318
2_13_32_T,0.461469472
2_14_32_T,0.441481658
2_15_32_T,0.420784774
2_16_32_T,0.395371896
4_1_32_T,12.491149264
4_2_32_T,6.307213168
4_3_32_T,4.261206416
4_4_32_T,3.214392072
4_5_32_T,2.6118736
4_6_32_T,2.196644336
4_7_32_T,1.91473724
4_8_32_T,1.675852888
4_9_32_T,1.531540872
4_10_32_T,1.392784936
4_11_32_T,1.280471188
4_12_32_T,1.192802316
4_13_32_T,1.108819192
4_14_32_T,1.055209832
4_15_32_T,0.99932188
4_16_32_T,0.927361104
7_1_32_T,44.49579208
7_2_32_T,22.311039856
7_3_32_T,14.974429592
7_4_32_T,11.286485796
7_5_32_T,9.166487968
7_6_32_T,7.706022344
7_7_32_T,6.715313216
7_8_32_T,5.846748436
7_9_32_T,5.323111896
7_10_32_T,4.81774714
7_11_32_T,4.41068272
7_12_32_T,4.091642568
7_13_32_T,3.785379412
7_14_32_T,3.592065968
7_15_32_T,3.388915804
7_16_32_T,3.125502156
