Name,Execution time in second
2_1_8_L,0.286507488
2_2_8_L,0.145131848
2_3_8_L,0.099279156
2_4_8_L,0.074444028
2_5_8_L,0.061105288
2_6_8_L,0.051822716
2_7_8_L,0.045816668
2_8_8_L,0.039100156
2_9_8_L,0.036895912
2_10_8_L,0.033094108
2_11_8_L,0.0301794
2_12_8_L,0.028591336
2_13_8_L,0.025846204
2_14_8_L,0.025230024
2_15_8_L,0.024173352
2_16_8_L,0.02142822
4_1_8_L,0.977781984
4_2_8_L,0.490769096
4_3_8_L,0.332468532
4_4_8_L,0.247262652
4_5_8_L,0.201280456
4_6_8_L,0.169177148
4_7_8_L,0.148173596
4_8_8_L,0.126543292
4_9_8_L,0.119220424
4_10_8_L,0.10687966
4_11_8_L,0.097624392
4_12_8_L,0.092256088
4_13_8_L,0.083601148
4_14_8_L,0.081467592
4_15_8_L,0.077966952
4_16_8_L,0.069285948
7_1_8_L,3.742879968
7_2_8_L,1.873318088
7_3_8_L,1.265226036
7_4_8_L,0.948874428
7_5_8_L,0.778220968
7_6_8_L,0.658853516
7_7_8_L,0.580912748
7_8_8_L,0.496990396
7_9_8_L,0.466661272
7_10_8_L,0.418485148
7_11_8_L,0.38274756
7_12_8_L,0.360731056
7_13_8_L,0.327547924
7_14_8_L,0.318683784
7_15_8_L,0.304337352
7_16_8_L,0.27107718
