Name,Execution time in second
2_1_32_I,0.605031192
2_2_32_I,0.307487144
2_3_32_I,0.211497712
2_4_32_I,0.15871512
2_5_32_I,0.130605976
2_6_32_I,0.111338784
2_7_32_I,0.099247936
2_8_32_I,0.0843292
2_9_32_I,0.080437032
2_10_32_I,0.072238352
2_11_32_I,0.065518296
2_12_32_I,0.062725688
2_13_32_I,0.05643448
2_14_32_I,0.05533492
2_15_32_I,0.053427448
2_16_32_I,0.04713624
4_1_32_I,1.973031192
4_2_32_I,0.991487144
4_3_32_I,0.673920496
4_4_32_I,0.50071512
4_5_32_I,0.407878936
4_6_32_I,0.344055456
4_7_32_I,0.303364288
4_8_32_I,0.257587312
4_9_32_I,0.245155032
4_10_32_I,0.219805568
4_11_32_I,0.199432152
4_12_32_I,0.190315016
4_13_32_I,0.171499408
4_14_32_I,0.167716216
4_15_32_I,0.161657464
4_16_32_I,0.142797168
7_1_32_I,7.445031192
7_2_32_I,3.727487144
7_3_32_I,2.523611632
7_4_32_I,1.89129438
7_5_32_I,1.552391956
7_6_32_I,1.319081004
7_7_32_I,1.170727036
7_8_32_I,0.99577822
7_9_32_I,0.943634772
7_10_32_I,0.845918972
7_11_32_I,0.768709476
7_12_32_I,0.730777988
7_13_32_I,0.65995966
7_14_32_I,0.64424242
7_15_32_I,0.618944308
7_16_32_I,0.54802014
