Name,Execution time in second
2_1_16_T,1.217555672
2_2_16_T,0.626937904
2_3_16_T,0.431336616
2_4_16_T,0.331352996
2_5_16_T,0.273902088
2_6_16_T,0.234146824
2_7_16_T,0.207368564
2_8_16_T,0.183836612
2_9_16_T,0.169693504
2_10_16_T,0.155952772
2_11_16_T,0.14477684
2_12_16_T,0.136303756
2_13_16_T,0.127963624
2_14_16_T,0.122620332
2_15_16_T,0.11705946
2_16_16_T,0.11007842
4_1_16_T,3.261732824
4_2_16_T,1.649327536
4_3_16_T,1.11601566
4_4_16_T,0.842547812
4_5_16_T,0.685729308
4_6_16_T,0.577558864
4_7_16_T,0.50458718
4_8_16_T,0.441989684
4_9_16_T,0.405691828
4_10_16_T,0.369263812
4_11_16_T,0.339660818
4_12_16_T,0.317724094
4_13_16_T,0.29540998
4_14_16_T,0.281715648
4_15_16_T,0.267417036
4_16_16_T,0.248474156
7_1_16_T,11.438441432
7_2_16_T,5.738886064
7_3_16_T,3.854731836
7_4_16_T,2.909872226
7_5_16_T,2.368743648
7_6_16_T,1.995794344
7_7_16_T,1.744620704
7_8_16_T,1.519692242
7_9_16_T,1.389496384
7_10_16_T,1.258444042
7_11_16_T,1.15238198
7_12_16_T,1.073465386
7_13_16_T,0.993158584
7_14_16_T,0.944462892
7_15_16_T,0.89303937
7_16_16_T,0.82460225
