Name,Execution time in second
2_1_16_I,0.302519712
2_2_16_I,0.153747688
2_3_16_I,0.105752972
2_4_16_I,0.079361676
2_5_16_I,0.065307104
2_6_16_I,0.055673508
2_7_16_I,0.049628084
2_8_16_I,0.042168716
2_9_16_I,0.040222632
2_10_16_I,0.036123292
2_11_16_I,0.032763264
2_12_16_I,0.03136696
2_13_16_I,0.028221356
2_14_16_I,0.027671576
2_15_16_I,0.02671784
2_16_16_I,0.023572236
4_1_16_I,0.986519712
4_2_16_I,0.495747688
4_3_16_I,0.336964364
4_4_16_I,0.250361676
4_5_16_I,0.203943584
4_6_16_I,0.172031844
4_7_16_I,0.15168626
4_8_16_I,0.128797772
4_9_16_I,0.122581632
4_10_16_I,0.1099069
4_11_16_I,0.099720192
4_12_16_I,0.095161624
4_13_16_I,0.08575382
4_14_16_I,0.083862224
4_15_16_I,0.080832848
4_16_16_I,0.0714027
7_1_16_I,3.722519712
7_2_16_I,1.863747688
7_3_16_I,1.261809932
7_4_16_I,0.945651306
7_5_16_I,0.776200094
7_6_16_I,0.659544618
7_7_16_I,0.585367634
7_8_16_I,0.497893226
7_9_16_I,0.471821502
7_10_16_I,0.422963602
7_11_16_I,0.384358854
7_12_16_I,0.36539311
7_13_16_I,0.329983946
7_14_16_I,0.322125326
7_15_16_I,0.30947627
7_16_16_I,0.274014186
