Name,Execution time in second
2_1_8_T,0.620815256
2_2_8_T,0.319852816
2_3_8_T,0.220168464
2_4_8_T,0.169233556
2_5_8_T,0.139945352
2_6_8_T,0.119689264
2_7_8_T,0.106033788
2_8_8_T,0.094062004
2_9_8_T,0.08683408
2_10_8_T,0.079840116
2_11_8_T,0.074148736
2_12_8_T,0.069825284
2_13_8_T,0.065584912
2_14_8_T,0.062851668
2_15_8_T,0.06001738
2_16_8_T,0.056476228
4_1_8_T,1.64762588
4_2_8_T,0.833408656
4_3_8_T,0.56408322
4_4_8_T,0.426011476
4_5_8_T,0.34680566
4_6_8_T,0.29218444
4_7_8_T,0.255321012
4_8_8_T,0.223983652
4_9_8_T,0.205811308
4_10_8_T,0.18758106
4_11_8_T,0.172761844
4_12_8_T,0.161517176
4_13_8_T,0.15012976
4_14_8_T,0.143083008
4_15_8_T,0.135761968
4_16_8_T,0.126139804
7_1_8_T,5.754868376
7_2_8_T,2.887632016
7_3_8_T,1.939742244
7_4_8_T,1.466943796
7_5_8_T,1.196173052
7_6_8_T,1.009554184
7_7_8_T,0.883869348
7_8_8_T,0.771311524
7_9_8_T,0.7061551
7_10_8_T,0.640590516
7_11_8_T,0.587514316
7_12_8_T,0.546758174
7_13_8_T,0.505513792
7_14_8_T,0.480222618
7_15_8_T,0.45370372
7_16_8_T,0.418752988
