Name,Execution time in second
2_1_16_L,3.481955648
2_2_16_L,1.762222856
2_3_16_L,1.193051792
2_4_16_L,0.90235646
2_5_16_L,0.735251368
2_6_16_L,0.620691328
2_7_16_L,0.54034936
2_8_16_L,0.472423404
2_9_16_L,0.428468052
2_10_16_L,0.391355648
2_11_16_L,0.359755156
2_12_16_L,0.333185396
2_13_16_L,0.31047272
2_14_16_L,0.29378234
2_15_16_L,0.278717976
2_16_16_L,0.257456876
4_1_16_L,12.017498432
4_2_16_L,6.029994248
4_3_16_L,4.047365264
4_4_16_L,3.036242156
4_5_16_L,2.453924392
4_6_16_L,2.055242752
4_7_16_L,1.775150128
4_8_16_L,1.549263852
4_9_16_L,1.40237028
4_10_16_L,1.280377724
4_11_16_L,1.174965004
4_12_16_L,1.08622865
4_13_16_L,1.011825482
4_14_16_L,0.955627382
4_15_16_L,0.905960688
4_16_16_L,0.835466348
7_1_16_L,46.159669568
7_2_16_L,23.101079816
7_3_16_L,15.464619152
7_4_16_L,11.67075713
7_5_16_L,9.486237268
7_6_16_L,7.990497568
7_7_16_L,6.93969247
7_8_16_L,6.054569994
7_9_16_L,5.473814742
7_10_16_L,4.994827688
7_11_16_L,4.580170186
7_12_16_L,4.231026566
7_13_16_L,3.93971108
7_14_16_L,3.7163387
7_15_16_L,3.520831836
7_16_16_L,3.246476426
