Name,Execution time in second
2_1_32_L,6.963870136
2_2_32_L,3.524404552
2_3_32_L,2.386062424
2_4_32_L,1.80467176
2_5_32_L,1.470461576
2_6_32_L,1.241341496
2_7_32_L,1.08065756
2_8_32_L,0.944805648
2_9_32_L,0.856894944
2_10_32_L,0.782670136
2_11_32_L,0.719469152
2_12_32_L,0.666329632
2_13_32_L,0.62090428
2_14_32_L,0.58752352
2_15_32_L,0.557394792
2_16_32_L,0.514872592
4_1_32_L,24.034955704
4_2_32_L,12.059947336
4_3_32_L,8.094689368
4_4_32_L,6.072443152
4_5_32_L,4.907807624
4_6_32_L,4.110444344
4_7_32_L,3.550259096
4_8_32_L,3.098486544
4_9_32_L,2.8046994
4_10_32_L,2.560714288
4_11_32_L,2.349888848
4_12_32_L,2.17241614
4_13_32_L,2.023609804
4_14_32_L,1.911213604
4_15_32_L,1.811880216
4_16_32_L,1.670891536
7_1_32_L,92.319297976
7_2_32_L,46.202118472
7_3_32_L,30.929197144
7_4_32_L,23.3414731
7_5_32_L,18.972433376
7_6_32_L,15.980953976
7_7_32_L,13.87934378
7_8_32_L,12.109098828
7_9_32_L,10.947588324
7_10_32_L,9.989614216
7_11_32_L,9.160299212
7_12_32_L,8.462011972
7_13_32_L,7.879381
7_14_32_L,7.43263624
7_15_32_L,7.041622512
7_16_32_L,6.492911692
