Name,Execution time in second
2_1_8_L,1.743541504
2_2_8_L,0.882410216
2_3_8_L,0.597404536
2_4_8_L,0.451844572
2_5_8_L,0.368166056
2_6_8_L,0.310802056
2_7_8_L,0.270571544
2_8_8_L,0.236561884
2_9_8_L,0.214549628
2_10_8_L,0.195966008
2_11_8_L,0.180143532
2_12_8_L,0.166838892
2_13_8_L,0.155465512
2_14_8_L,0.147107724
2_15_8_L,0.139563192
2_16_8_L,0.12892054
4_1_8_L,6.018982144
4_2_8_L,3.020130536
4_3_8_L,2.027122168
4_4_8_L,1.520704732
4_5_8_L,1.229037992
4_6_8_L,1.0293586
4_7_8_L,0.88907228
4_8_8_L,0.775935964
4_9_8_L,0.70234592
4_10_8_L,0.64123598
4_11_8_L,0.588437436
4_12_8_L,0.543987516
4_13_8_L,0.50671546
4_14_8_L,0.478564044
4_15_8_L,0.453679608
4_16_8_L,0.41838742
7_1_8_L,23.120744704
7_2_8_L,11.571011816
7_3_8_L,7.745992696
7_4_8_L,5.845581532
7_5_8_L,4.751256356
7_6_8_L,4.002009616
7_7_8_L,3.475630904
7_8_8_L,3.032304604
7_9_8_L,2.741360048
7_10_8_L,2.501416808
7_11_8_L,2.293723392
7_12_8_L,2.118860982
7_13_8_L,1.972951972
7_14_8_L,1.861083294
7_15_8_L,1.763148132
7_16_8_L,1.62579094
