Name,Execution time in second
2_1_16_I,3.481955648
2_2_16_I,1.762222856
2_3_16_I,1.193051792
2_4_16_I,0.90235646
2_5_16_I,0.735251368
2_6_16_I,0.620691328
2_7_16_I,0.54034936
2_8_16_I,0.472423404
2_9_16_I,0.428468052
2_10_16_I,0.391355648
2_11_16_I,0.359755156
2_12_16_I,0.333185396
2_13_16_I,0.31047272
2_14_16_I,0.29378234
2_15_16_I,0.278717976
2_16_16_I,0.257456876
4_1_16_I,12.017498432
4_2_16_I,6.029994248
4_3_16_I,4.047365264
4_4_16_I,3.036242156
4_5_16_I,2.453924392
4_6_16_I,2.055242752
4_7_16_I,1.775150128
4_8_16_I,1.549263852
4_9_16_I,1.40237028
4_10_16_I,1.280377724
4_11_16_I,1.174965004
4_12_16_I,1.08622865
4_13_16_I,1.011825482
4_14_16_I,0.955627382
4_15_16_I,0.905960688
4_16_16_I,0.835466348
7_1_16_I,46.159669568
7_2_16_I,23.101079816
7_3_16_I,15.464619152
7_4_16_I,11.67075713
7_5_16_I,9.486237268
7_6_16_I,7.990497568
7_7_16_I,6.93969247
7_8_16_I,6.054569994
7_9_16_I,5.473814742
7_10_16_I,4.994827688
7_11_16_I,4.580170186
7_12_16_I,4.231026566
7_13_16_I,3.93971108
7_14_16_I,3.7163387
7_15_16_I,3.520831836
7_16_16_I,3.246476426
