Name,Execution time in second
2_1_8_I,1.743541504
2_2_8_I,0.882410216
2_3_8_I,0.597404536
2_4_8_I,0.451844572
2_5_8_I,0.368166056
2_6_8_I,0.310802056
2_7_8_I,0.270571544
2_8_8_I,0.236561884
2_9_8_I,0.214549628
2_10_8_I,0.195966008
2_11_8_I,0.180143532
2_12_8_I,0.166838892
2_13_8_I,0.155465512
2_14_8_I,0.147107724
2_15_8_I,0.139563192
2_16_8_I,0.12892054
4_1_8_I,6.018982144
4_2_8_I,3.020130536
4_3_8_I,2.027122168
4_4_8_I,1.520704732
4_5_8_I,1.229037992
4_6_8_I,1.0293586
4_7_8_I,0.88907228
4_8_8_I,0.775935964
4_9_8_I,0.70234592
4_10_8_I,0.64123598
4_11_8_I,0.588437436
4_12_8_I,0.543987516
4_13_8_I,0.50671546
4_14_8_I,0.478564044
4_15_8_I,0.453679608
4_16_8_I,0.41838742
7_1_8_I,23.120744704
7_2_8_I,11.571011816
7_3_8_I,7.745992696
7_4_8_I,5.845581532
7_5_8_I,4.751256356
7_6_8_I,4.002009616
7_7_8_I,3.475630904
7_8_8_I,3.032304604
7_9_8_I,2.741360048
7_10_8_I,2.501416808
7_11_8_I,2.293723392
7_12_8_I,2.118860982
7_13_8_I,1.972951972
7_14_8_I,1.861083294
7_15_8_I,1.763148132
7_16_8_I,1.62579094
