Name,Execution time in second
2_1_1_I,0.110220112
2_2_1_I,0.05572418
2_3_1_I,0.037558932
2_4_1_I,0.028476214
2_5_1_I,0.023064326
2_6_1_I,0.01939359
2_7_1_I,0.016820022
2_8_1_I,0.014852278
2_9_1_I,0.013394958
2_10_1_I,0.012155874
2_11_1_I,0.011162462
2_12_1_I,0.010310966
2_13_1_I,0.009686062
2_14_1_I,0.009033722
2_15_1_I,0.008550734
2_16_1_I,0.00804031
4_1_1_I,0.389134288
4_2_1_I,0.195181268
4_3_1_I,0.130530516
4_4_1_I,0.098204758
4_5_1_I,0.078947558
4_6_1_I,0.065879382
4_7_1_I,0.056723862
4_8_1_I,0.050138326
4_9_1_I,0.045286206
4_10_1_I,0.041130186
4_11_1_I,0.037808942
4_12_1_I,0.034959446
4_13_1_I,0.032896414
4_14_1_I,0.03069125
4_15_1_I,0.02909723
4_16_1_I,0.027370006
7_1_1_I,1.504790992
7_2_1_I,0.75300962
7_3_1_I,0.502416852
7_4_1_I,0.381335254
7_5_1_I,0.309217526
7_6_1_I,0.26025519
7_7_1_I,0.225970662
7_8_1_I,0.199715158
7_9_1_I,0.180334878
7_10_1_I,0.163773834
7_11_1_I,0.150526382
7_12_1_I,0.139175126
7_13_1_I,0.130924702
7_14_1_I,0.122148242
7_15_1_I,0.115872134
7_16_1_I,0.10907935
