Name,Execution time in second
2_1_16_I,1.68565396
2_2_16_I,0.852060368
2_3_16_I,0.57419592
2_4_16_I,0.435263572
2_5_16_I,0.352479428
2_6_16_I,0.296331348
2_7_16_I,0.256963524
2_8_16_I,0.226865236
2_9_16_I,0.204570804
2_10_16_I,0.185619732
2_11_16_I,0.17042402
2_12_16_I,0.157399124
2_13_16_I,0.147836452
2_14_16_I,0.13786178
2_15_16_I,0.130469924
2_16_16_I,0.122666068
4_1_16_I,5.912038984
4_2_16_I,2.96525288
4_3_16_I,1.98299112
4_4_16_I,1.491859828
4_5_16_I,1.1992769
4_6_16_I,1.000728948
4_7_16_I,0.86162442
4_8_16_I,0.762084724
4_9_16_I,0.68876106
4_10_16_I,0.625939932
4_11_16_I,0.575741012
4_12_16_I,0.532668788
4_13_16_I,0.501502468
4_14_16_I,0.46815974
4_15_16_I,0.444075212
4_16_16_I,0.41796082
7_1_16_I,22.81757908
7_2_16_I,11.418022928
7_3_16_I,7.61817192
7_4_16_I,5.787457042
7_5_16_I,4.697057378
7_6_16_I,3.956743698
7_7_16_I,3.438371034
7_8_16_I,3.041387026
7_9_16_I,2.748368994
7_10_16_I,2.497964922
7_11_16_I,2.29765973
7_12_16_I,2.126030354
7_13_16_I,2.001310762
7_14_16_I,1.86858629
7_15_16_I,1.772317994
7_16_16_I,1.668352018
