Name,Execution time in second
2_1_8_L,0.931473128
2_2_8_L,0.472954064
2_3_8_L,0.321628224
2_4_8_L,0.243694532
2_5_8_L,0.199486888
2_6_8_L,0.168858856
2_7_8_L,0.147500792
2_8_8_L,0.1290649
2_9_8_L,0.118061572
2_10_8_L,0.107494744
2_11_8_L,0.099382516
2_12_8_L,0.092368692
2_13_8_L,0.085866696
2_14_8_L,0.082073748
2_15_8_L,0.077827896
2_16_8_L,0.071750084
4_1_8_L,3.077845736
4_2_8_L,1.546140368
4_3_8_L,1.0402704
4_4_8_L,0.780287684
4_5_8_L,0.632370088
4_6_8_L,0.530118376
4_7_8_L,0.458604536
4_8_8_L,0.3997465
4_9_8_L,0.36431452
4_10_8_L,0.330733564
4_11_8_L,0.304837588
4_12_8_L,0.282242256
4_13_8_L,0.261716832
4_14_8_L,0.249505704
4_15_8_L,0.235846776
4_16_8_L,0.21663482
7_1_8_L,11.663336168
7_2_8_L,5.838885584
7_3_8_L,3.914839104
7_4_8_L,2.950506692
7_5_8_L,2.401799848
7_6_8_L,2.022551716
7_7_8_L,1.757198552
7_8_8_L,1.5301657
7_9_8_L,1.391573512
7_10_8_L,1.261956124
7_11_8_L,1.161483136
7_12_8_L,1.073779182
7_13_8_L,0.994766736
7_14_8_L,0.946539258
7_15_8_L,0.893686056
7_16_8_L,0.820120004
