Name,Execution time in second
2_1_32_I,3.715656608
2_2_32_I,1.88663992
2_3_32_I,1.283017152
2_4_32_I,0.972131576
2_5_32_I,0.79580488
2_6_32_I,0.673628672
2_7_32_I,0.588434528
2_8_32_I,0.514877688
2_9_32_I,0.471002696
2_10_32_I,0.428845056
2_11_32_I,0.396485064
2_12_32_I,0.368508808
2_13_32_I,0.342568992
2_14_32_I,0.327447592
2_15_32_I,0.310513584
2_16_32_I,0.286250744
4_1_32_I,12.270470048
4_2_32_I,6.16404664
4_3_32_I,4.147342272
4_4_32_I,3.110834936
4_5_32_I,2.521195984
4_6_32_I,2.113543424
4_7_32_I,1.828448096
4_8_32_I,1.593788664
4_9_32_I,1.452633776
4_10_32_I,1.3187646
4_11_32_I,1.215549432
4_12_32_I,1.125495076
4_13_32_I,1.043675268
4_14_32_I,0.99504022
4_15_32_I,0.940608864
4_16_32_I,0.863941112
7_1_32_I,46.489723808
7_2_32_I,23.27367352
7_3_32_I,15.604642752
7_4_32_I,11.761233716
7_5_32_I,9.57466732
7_6_32_I,8.063182352
7_7_32_I,7.005674348
7_8_32_I,6.100603188
7_9_32_I,5.548502156
7_10_32_I,5.031831456
7_11_32_I,4.631398164
7_12_32_I,4.281744748
7_13_32_I,3.966700032
7_14_32_I,3.774520072
7_15_32_I,3.563834184
7_16_32_I,3.270287924
