Name,Execution time in second
2_1_16_I,1.857838888
2_2_16_I,0.943330544
2_3_16_I,0.64151916
2_4_16_I,0.486076372
2_5_16_I,0.397913024
2_6_16_I,0.33682492
2_7_16_I,0.294227848
2_8_16_I,0.257449428
2_9_16_I,0.235511932
2_10_16_I,0.214433112
2_11_16_I,0.198253116
2_12_16_I,0.184264988
2_13_16_I,0.17129508
2_14_16_I,0.16373438
2_15_16_I,0.155267376
2_16_16_I,0.143135956
4_1_16_I,6.135245608
4_2_16_I,3.082033904
4_3_16_I,2.07368172
4_4_16_I,1.555428052
4_5_16_I,1.260608576
4_6_16_I,1.056782296
4_7_16_I,0.914234632
4_8_16_I,0.796904916
4_9_16_I,0.726327472
4_10_16_I,0.659392884
4_11_16_I,0.6077853
4_12_16_I,0.562758122
4_13_16_I,0.521848218
4_14_16_I,0.497530694
4_15_16_I,0.470315016
4_16_16_I,0.43198114
7_1_16_I,23.244872488
7_2_16_I,11.636847344
7_3_16_I,7.80233196
7_4_16_I,5.880627442
7_5_16_I,4.787344244
7_6_16_I,4.03160176
7_7_16_I,3.502847758
7_8_16_I,3.050312178
7_9_16_I,2.774261662
7_10_16_I,2.515926312
7_11_16_I,2.315709666
7_12_16_I,2.140882958
7_13_16_I,1.9833606
7_14_16_I,1.88727062
7_15_16_I,1.781927676
7_16_16_I,1.635154546
